"","Feature","Ratio","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3","M.Ave","M.SD","A"
"1916","CDC42EP3","Endo",0.0821917808219178,0.112185686653772,0.13107822410148,0.168765743073048,0.131868131868132,0.113110539845758,-0.352822907929041,0.633847549880285,-3.02092563126396
"1917","CDC42EP4","Endo",0.280821917808219,0.359767891682785,0.323467230443975,0.36272040302267,0.494505494505495,0.719794344473008,-0.660695892168229,0.429532627904697,-1.23952224789164
"1918","CDC42EP5","Endo",0.00684931506849315,0.0174081237911025,0.0190274841437632,0.0151133501259446,0.0146520146520147,0.0154241645244216,-0.196745906014344,0.818882860834833,-6.0835577647099
"1919","CDC42SE1","Endo",1.05022831050228,1.08704061895551,1.0338266384778,1.05541561712846,0.998168498168498,1.09768637532134,0.00982356430896777,0.105782338514982,0.0755020675126414
"1920","CDC42SE2","Endo",0.292237442922374,0.290135396518375,0.264270613107822,0.289672544080605,0.353479853479854,0.359897172236504,-0.239250783401985,0.232528947863497,-1.69767664181082
"1921","CDC45","Endo",0.0319634703196347,0.00386847195357834,0.0338266384778013,0.0377833753148615,0.0164835164835165,0.0102827763496144,-0.204861965066576,1.90482095325995,-5.48241724836286
"1922","CDC5L","Endo",1.31735159817352,1.16441005802708,1.30655391120507,1.13350125944584,1.30769230769231,1.08483290488432,0.105908116383245,0.238105653126251,0.285765592057226
"1923","CDC6","Endo",0.0136986301369863,0.02321083172147,0.0126849894291755,0.0151133501259446,0.010989010989011,0.0179948586118252,0.144160786152351,0.829431462847246,-6.00089788935948
"1924","CDC7","Endo",0.0159817351598174,0.00193423597678917,0.0105708245243129,0.0125944584382872,0.00732600732600733,0.0051413881748072,-0.179256766049632,1.54826412537773,-6.80796849721816
"1925","CDC73","Endo",0.237442922374429,0.241779497098646,0.232558139534884,0.209068010075567,0.28021978021978,0.282776349614396,-0.103776163814299,0.251276132587791,-2.01562239516787
"1926","CDCA2","Endo",0.0639269406392694,0.00967117988394584,0.0317124735729387,0.0730478589420655,0.0201465201465201,0.025706940874036,-0.316097438768416,0.689203521704889,-4.74202765423221
"1927","CDCA3","Endo",0.0547945205479452,0.00580270793036751,0.0613107822410148,0.0629722921914358,0.010989010989011,0.012853470437018,0.377344663660047,1.66467303303915,-4.84530250083415
"1928","CDCA4","Endo",0.26027397260274,0.268858800773694,0.19661733615222,0.136020151133501,0.186813186813187,0.208226221079692,0.459567276923397,0.512651752630413,-2.25519631637461
"1930","CDCA7","Endo",0.0205479452054795,0.0483558994197292,0.0570824524312896,0.0503778337531486,0.032967032967033,0.0694087403598972,-0.341065708439713,0.924644039265337,-4.42797104354729
"1932","CDCA8","Endo",0.045662100456621,0.0251450676982592,0.0591966173361522,0.0403022670025189,0.021978021978022,0.012853470437018,0.859235639757013,1.16406435078625,-4.87029903311142
"1933","CDCP1","Endo",0.00684931506849315,0.00967117988394584,0.0105708245243129,0.00251889168765743,0.00732600732600733,0.0025706940874036,1.29456449009646,0.829639385516263,-7.24671358482087
"1934","CDH1","Endo",4.77853881278539,4.03288201160542,5.72093023255814,7.02267002518892,4.56410256410256,3.8586118251928,-0.0552674307184473,0.571859005057127,2.32085699988273
"1936","CDH11","Endo",0.0273972602739726,0.0154738878143133,0.025369978858351,0.0730478589420655,0.0402930402930403,0.0231362467866324,-0.88751261132379,0.883926277458025,-4.8732507138418
"1937","CDH13","Endo",0.0205479452054795,0.0367504835589942,0.0105708245243129,0.0302267002518892,0.0164835164835165,0.012853470437018,0.10594659750531,0.920324380584167,-5.55715234393795
"1940","CDH17","Endo",0.317351598173516,0.400386847195358,0.00845665961945032,1.11586901763224,2.08974358974359,2.04370179948586,-4.03825140166636,3.37105431252934,-0.00590076856837168
"1942","CDH2","Endo",7.5365296803653,6.5357833655706,7.10782241014799,5.92191435768262,5.60622710622711,4.40874035989717,0.419402611058605,0.241929089182879,2.62904637444834
"1945","CDH23","Endo",0.00684931506849315,0.00967117988394584,0.00211416490486258,0.00503778337531486,0.010989010989011,0.0077120822622108,-0.536053208680098,1.19459558153418,-7.14565514983323
"1947","CDH3","Endo",0.0159817351598174,0.00967117988394584,0.0232558139534884,0.0100755667506297,0.0128205128205128,0.0077120822622108,0.617090664199001,1.00042572604532,-6.23755734293876
"1948","CDH5","Endo",0.710045662100457,0.574468085106383,0.723044397463002,0.609571788413098,0.943223443223443,0.652956298200514,-0.116053120168859,0.52030855163056,-0.51000854412397
"1954","CDIG2","Endo",2.70776255707763,1.93230174081238,4.47780126849894,4.0352644836272,3.07692307692308,2.68123393316195,-0.168945525490114,0.788527916068713,1.65621314740829
"1955","CDIPT","Endo",1.04337899543379,0.994197292069632,1.03805496828753,1.15113350125945,0.912087912087912,1.09511568123393,-0.0315443363306163,0.138825315218888,0.0551883297511198
"1957","CDK10","Endo",0.837899543378995,0.570599613152805,0.92600422832981,0.667506297229219,0.716117216117216,0.760925449871465,0.0945141747000751,0.366346290318842,-0.421768973202835
"1958","CDK105","Endo",0.436073059360731,0.5357833655706,0.441860465116279,0.294710327455919,0.507326007326007,0.480719794344473,0.174134520146363,0.35323614248557,-1.15388890236261
"1959","CDK12","Endo",0.732876712328767,0.831721470019342,0.668076109936575,0.685138539042821,0.967032967032967,0.70694087403599,-0.0672889681128165,0.157805570425369,-0.385906882624104
"1960","CDK14","Endo",0.100456621004566,0.0947775628626693,0.198731501057082,0.282115869017632,0.15018315018315,0.197943444730077,-0.716029457715649,0.74907465691863,-2.55045355803491
"1961","CDK16","Endo",1.23287671232877,1.27272727272727,1.3107822410148,1.2191435768262,1.19047619047619,1.10282776349614,0.120588524387951,0.118400255833019,0.288621138695864
"1962","CDK17","Endo",0.180365296803653,0.270793036750484,0.169133192389006,0.168765743073048,0.225274725274725,0.305912596401028,-0.164518273100675,0.603923442949236,-2.18415727031191
"1963","CDK18","Endo",0.541095890410959,0.4642166344294,0.600422832980973,0.662468513853904,0.576923076923077,0.570694087403599,-0.177429043408243,0.217372928367716,-0.812730110433732
"1964","CDK19","Endo",0.495433789954338,0.435203094777563,0.494714587737844,0.397984886649874,0.521978021978022,0.491002570694087,0.021514745924488,0.289286469821688,-1.08094374133553
"1965","CDK2","Endo",0.4337899543379,0.431334622823985,0.338266384778013,0.377833753148615,0.498168498168498,0.547557840616967,-0.234477589679981,0.447643726850368,-1.19157318071826
"1966","CDK20","Endo",0.305936073059361,0.342359767891683,0.329809725158562,0.370277078085642,0.364468864468864,0.413881748071979,-0.231080701432704,0.124697970014212,-1.4963234045718
"1967","CDK2AP1","Endo",0.929223744292237,1.12765957446809,0.985200845665962,1.05793450881612,1.0970695970696,1.11568123393316,-0.108970320328288,0.128789783647706,0.0733105747654194
"1968","CDK2AP2","Endo",1.5958904109589,1.52030947775629,1.58985200845666,2.76574307304786,1.58424908424908,1.31105398457584,-0.191524773094322,0.547812417514873,0.78897770523269
"1969","CDK4","Endo",0.764840182648402,0.684719535783366,0.964059196617336,0.770780856423174,0.672161172161172,0.6426735218509,0.200193083062807,0.333820886431104,-0.415282949679377
"1970","CDK5","Endo",0.189497716894977,0.176015473887814,0.202959830866808,0.229219143576826,0.225274725274725,0.22879177377892,-0.267790408148019,0.091757882597795,-2.26100605938327
"1971","CDK5R1","Endo",0.0091324200913242,0.00580270793036751,0.00422832980972516,0.0100755667506297,0.00732600732600733,0.0025706940874036,0.0799457601715522,0.561004746016773,-7.2603324823555
"1973","CDK5RAP1","Endo",0.257990867579909,0.237911025145068,0.384778012684989,0.272040302267003,0.291208791208791,0.285347043701799,0.0210588546495643,0.371213021136271,-1.79479431740625
